qid,arm,unit,cycle,true_rul,dl_hint,rul_pred_raw,rul_pred,mono_violation,mono_viol_size,dl_used,steps,json_valid,rul_err,rul_abs_err,s_score,range_coverage,range_width,trend_n,trend_direction_acc,outlook_real,outlook_pred,outlook_acc,n_trend_detail
T65c314,P7_agent,65,314,64.0,0.0,108.0,43.0,1,65.0,False,4.0,1.0,-21.0,21.0,4.03,0.0,10.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c318,P7_agent,65,318,60.0,0.0,104.0,43.0,1,61.0,False,4.0,1.0,-17.0,17.0,2.7,0.0,-8.0,1.0,0.0,accelerating,accelerating,1.0,1
T65c320,P7_agent,65,320,58.0,0.0,105.0,43.0,1,62.0,False,4.0,1.0,-15.0,15.0,2.17,0.0,23.0,1.0,0.0,accelerating,accelerating,1.0,1
T65c321,P7_agent,65,321,57.0,0.0,110.0,43.0,1,67.0,False,4.0,1.0,-14.0,14.0,1.94,0.0,10.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c324,P7_agent,65,324,54.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,-11.0,11.0,1.33,0.0,10.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c328,P7_agent,65,328,50.0,0.0,112.0,43.0,1,69.0,False,4.0,1.0,-7.0,7.0,0.71,0.0,-4.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c330,P7_agent,65,330,48.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,-5.0,5.0,0.47,0.0,6.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c334,P7_agent,65,334,44.0,0.0,112.0,43.0,1,69.0,False,4.0,1.0,-1.0,1.0,0.08,0.0,5.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c335,P7_agent,65,335,43.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,accelerating,accelerating,1.0,1
T65c338,P7_agent,65,338,40.0,0.0,112.0,43.0,1,69.0,False,4.0,1.0,3.0,3.0,0.35,0.0,-3.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c339,P7_agent,65,339,39.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,4.0,4.0,0.49,0.0,3.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c340,P7_agent,65,340,38.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,5.0,5.0,0.65,0.0,2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c341,P7_agent,65,341,37.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,6.0,6.0,0.82,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c342,P7_agent,65,342,36.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,7.0,7.0,1.01,0.0,2.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c343,P7_agent,65,343,35.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,8.0,8.0,1.23,0.0,-2.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c344,P7_agent,65,344,34.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,9.0,9.0,1.46,0.0,2.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c345,P7_agent,65,345,33.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,10.0,10.0,1.72,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c346,P7_agent,65,346,32.0,0.0,113.0,43.0,1,70.0,False,4.0,1.0,11.0,11.0,2.0,0.0,-2.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c347,P7_agent,65,347,31.0,0.0,112.0,43.0,1,69.0,False,4.0,1.0,12.0,12.0,2.32,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c348,P7_agent,65,348,30.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,13.0,13.0,2.67,0.0,6.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c349,P7_agent,65,349,29.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,14.0,14.0,3.06,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c350,P7_agent,65,350,28.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,15.0,15.0,3.48,0.0,10.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c351,P7_agent,65,351,27.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,16.0,16.0,3.95,0.0,2.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c352,P7_agent,65,352,26.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,17.0,17.0,4.47,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c353,P7_agent,65,353,25.0,0.0,113.0,43.0,1,70.0,False,4.0,1.0,18.0,18.0,5.05,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c354,P7_agent,65,354,24.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,19.0,19.0,5.69,0.0,10.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c355,P7_agent,65,355,23.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,20.0,20.0,6.39,0.0,-2.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c356,P7_agent,65,356,22.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,21.0,21.0,7.17,0.0,2.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c357,P7_agent,65,357,21.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,22.0,22.0,8.03,0.0,2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c358,P7_agent,65,358,20.0,0.0,100.0,43.0,1,57.0,False,4.0,1.0,23.0,23.0,8.97,0.0,20.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c359,P7_agent,65,359,19.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,24.0,24.0,10.02,0.0,25.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c360,P7_agent,65,360,18.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,25.0,25.0,11.18,0.0,-2.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c361,P7_agent,65,361,17.0,0.0,113.0,43.0,1,70.0,False,4.0,1.0,26.0,26.0,12.46,0.0,-2.0,1.0,0.0,accelerating,accelerating,1.0,1
T65c362,P7_agent,65,362,16.0,0.0,112.0,43.0,1,69.0,False,4.0,1.0,27.0,27.0,13.88,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c363,P7_agent,65,363,15.0,0.0,110.0,43.0,1,67.0,False,4.0,1.0,28.0,28.0,15.44,0.0,-4.0,,,,accelerating,,0
T65c364,P7_agent,65,364,14.0,0.0,115.0,43.0,1,72.0,False,4.0,1.0,29.0,29.0,17.17,0.0,10.0,,,,accelerating,,0
T65c365,P7_agent,65,365,13.0,0.0,114.0,43.0,1,71.0,False,4.0,1.0,30.0,30.0,19.09,0.0,-2.0,,,,accelerating,,0
T65c366,P7_agent,65,366,12.0,0.0,113.0,43.0,1,70.0,False,4.0,1.0,31.0,31.0,21.2,0.0,-2.0,,,,accelerating,,0
T65c367,P7_agent,65,367,11.0,0.0,112.0,43.0,1,69.0,False,4.0,1.0,32.0,32.0,23.53,0.0,-2.0,,,,accelerating,,0
T103c182,P7_agent,103,182,12.0,4.8,100.0,100.0,0,0.0,False,4.0,1.0,88.0,88.0,6633.24,0.0,20.0,,,,accelerating,,0
T103c183,P7_agent,103,183,11.0,3.8,,,0,0.0,False,4.0,1.0,,,,,,,,,,,0
T103c185,P7_agent,103,185,9.0,1.8,95.0,95.0,0,0.0,False,4.0,1.0,86.0,86.0,5430.66,0.0,10.0,,,,accelerating,,0
T103c186,P7_agent,103,186,8.0,0.8,95.0,95.0,0,0.0,False,4.0,1.0,87.0,87.0,6001.91,0.0,10.0,,,,accelerating,,0
T110c2,P7_agent,110,2,125.0,125.0,,,0,0.0,False,4.0,1.0,,,,,,,,sporadic,,,0
T110c25,P7_agent,110,25,125.0,102.0,80.0,80.0,0,0.0,False,4.0,1.0,-45.0,45.0,30.87,0.0,40.0,2.0,0.0,sporadic,accelerating,0.0,2
T110c64,P7_agent,110,64,125.0,63.0,115.0,80.0,1,35.0,False,4.0,1.0,-45.0,45.0,30.87,1.0,45.0,1.0,1.0,sporadic,accelerating,0.0,1
T131c57,P7_agent,131,57,125.0,121.9,100.0,100.0,0,0.0,False,4.0,1.0,-25.0,25.0,5.84,0.0,40.0,2.0,0.0,sporadic,accelerating,0.0,2
T135c2,P7_agent,135,2,125.0,122.9,,,0,0.0,False,4.0,1.0,,,,,,,,steady,,,0
T135c20,P7_agent,135,20,125.0,104.9,,,0,0.0,False,4.0,1.0,,,,,,,,steady,,,0
T135c22,P7_agent,135,22,125.0,102.9,80.0,80.0,0,0.0,False,4.0,1.0,-45.0,45.0,30.87,0.0,40.0,2.0,0.0,steady,accelerating,0.0,2
T135c29,P7_agent,135,29,125.0,95.9,90.0,80.0,1,10.0,False,4.0,1.0,-45.0,45.0,30.87,0.0,20.0,2.0,0.0,steady,accelerating,0.0,2
T135c33,P7_agent,135,33,125.0,91.9,,,0,0.0,False,4.0,1.0,,,,,,,,steady,,,0
T135c36,P7_agent,135,36,125.0,88.9,83.0,80.0,1,3.0,False,4.0,1.0,-45.0,45.0,30.87,1.0,35.0,2.0,0.5,steady,accelerating,0.0,2
T135c43,P7_agent,135,43,125.0,81.9,76.0,76.0,0,0.0,False,4.0,1.0,-49.0,49.0,42.35,1.0,42.0,2.0,0.5,steady,accelerating,0.0,2
T135c57,P7_agent,135,57,125.0,67.9,80.0,76.0,1,4.0,False,3.0,1.0,-49.0,49.0,42.35,0.0,40.0,,,sporadic,accelerating,0.0,0
T135c74,P7_agent,135,74,125.0,50.9,63.0,63.0,0,0.0,False,4.0,1.0,-62.0,62.0,116.83,1.0,45.0,1.0,0.0,sporadic,accelerating,0.0,1
T209c4,P7_agent,209,4,125.0,125.0,80.0,80.0,0,0.0,False,4.0,1.0,-45.0,45.0,30.87,0.0,40.0,,,steady,accelerating,0.0,0
T209c13,P7_agent,209,13,125.0,116.0,70.0,70.0,0,0.0,False,4.0,1.0,-55.0,55.0,67.77,0.0,20.0,2.0,0.5,steady,accelerating,0.0,2
T209c23,P7_agent,209,23,125.0,106.0,90.0,70.0,1,20.0,False,4.0,1.0,-55.0,55.0,67.77,0.0,20.0,1.0,1.0,sporadic,accelerating,0.0,1
T209c35,P7_agent,209,35,119.0,94.0,78.0,70.0,1,8.0,False,4.0,1.0,-49.0,49.0,42.35,0.0,40.0,2.0,0.5,sporadic,accelerating,0.0,2
T222c11,P7_agent,222,11,125.0,118.0,115.0,115.0,0,0.0,False,4.0,1.0,-10.0,10.0,1.16,0.0,10.0,2.0,0.0,sporadic,accelerating,0.0,2
T245c235,P7_agent,245,235,46.0,27.8,100.0,100.0,0,0.0,False,4.0,1.0,54.0,54.0,220.41,0.0,20.0,2.0,0.5,accelerating,accelerating,1.0,2
T245c238,P7_agent,245,238,43.0,20.4,95.0,95.0,0,0.0,False,4.0,1.0,52.0,52.0,180.27,0.0,10.0,1.0,0.0,accelerating,accelerating,1.0,1
T245c241,P7_agent,245,241,40.0,17.4,,,0,0.0,False,4.0,1.0,,,,,,,,accelerating,,,0
T245c243,P7_agent,245,243,38.0,15.4,115.0,95.0,1,20.0,False,4.0,1.0,57.0,57.0,297.87,0.0,35.0,1.0,0.0,accelerating,accelerating,1.0,1
T245c247,P7_agent,245,247,34.0,11.4,110.0,95.0,1,15.0,False,4.0,1.0,61.0,61.0,444.86,0.0,10.0,2.0,0.0,accelerating,accelerating,1.0,2
T245c249,P7_agent,245,249,32.0,9.4,112.0,95.0,1,17.0,False,4.0,1.0,63.0,63.0,543.57,0.0,5.0,2.0,0.0,accelerating,accelerating,1.0,2
T245c255,P7_agent,245,255,26.0,3.4,110.0,95.0,1,15.0,False,4.0,1.0,69.0,69.0,991.27,0.0,-4.0,2.0,0.0,accelerating,accelerating,1.0,2
T245c256,P7_agent,245,256,25.0,2.4,100.0,95.0,1,5.0,False,3.0,1.0,70.0,70.0,1095.63,0.0,25.0,,,accelerating,accelerating,1.0,0
T245c257,P7_agent,245,257,24.0,1.4,115.0,95.0,1,20.0,False,4.0,1.0,71.0,71.0,1210.97,0.0,25.0,2.0,0.0,accelerating,accelerating,1.0,2
T245c258,P7_agent,245,258,23.0,0.4,114.0,95.0,1,19.0,False,4.0,1.0,72.0,72.0,1338.43,0.0,-2.0,2.0,0.0,accelerating,accelerating,1.0,2
T245c259,P7_agent,245,259,22.0,0.0,115.0,95.0,1,20.0,False,4.0,1.0,73.0,73.0,1479.3,0.0,2.0,2.0,0.0,accelerating,accelerating,1.0,2
T245c260,P7_agent,245,260,21.0,0.0,,,0,0.0,False,4.0,0.0,,,,,,,,accelerating,,,0
T245c261,P7_agent,245,261,20.0,0.0,115.0,95.0,1,20.0,False,4.0,1.0,75.0,75.0,1807.04,0.0,30.0,,,,accelerating,,0
T245c262,P7_agent,245,262,19.0,0.0,114.0,95.0,1,19.0,False,4.0,1.0,76.0,76.0,1997.2,0.0,-2.0,,,,accelerating,,0
T245c263,P7_agent,245,263,18.0,0.0,113.0,95.0,1,18.0,False,4.0,1.0,77.0,77.0,2207.35,0.0,-2.0,,,,accelerating,,0
T245c264,P7_agent,245,264,17.0,0.0,112.0,95.0,1,17.0,False,4.0,1.0,78.0,78.0,2439.6,0.0,-2.0,,,,accelerating,,0
T245c265,P7_agent,245,265,16.0,0.0,115.0,95.0,1,20.0,False,4.0,1.0,79.0,79.0,2696.28,0.0,6.0,,,,accelerating,,0
T65c34,P7_agent_dl,65,34,125.0,119.9,,,0,0.0,True,4.0,1.0,,,,,,,,steady,,,0
T65c35,P7_agent_dl,65,35,125.0,118.9,120.0,120.0,0,0.0,True,4.0,1.0,-5.0,5.0,0.47,1.0,10.0,2.0,0.0,sporadic,accelerating,0.0,2
T65c59,P7_agent_dl,65,59,125.0,94.9,95.0,95.0,0,0.0,True,4.0,1.0,-30.0,30.0,9.05,0.0,10.0,2.0,0.0,sporadic,accelerating,0.0,2
T65c91,P7_agent_dl,65,91,125.0,62.9,63.0,63.0,0,0.0,True,4.0,1.0,-62.0,62.0,116.83,1.0,30.0,2.0,0.0,sporadic,accelerating,0.0,2
T65c133,P7_agent_dl,65,133,125.0,20.9,21.0,21.0,0,0.0,True,4.0,1.0,-104.0,104.0,2979.96,1.0,62.0,2.0,0.0,steady,accelerating,0.0,2
T65c170,P7_agent_dl,65,170,125.0,0.0,21.0,21.0,0,0.0,True,4.0,1.0,-104.0,104.0,2979.96,1.0,125.0,2.0,0.5,sporadic,accelerating,0.0,2
T65c281,P7_agent_dl,65,281,97.0,0.0,,,0,0.0,True,4.0,0.0,,,,,,,,accelerating,,,0
T65c302,P7_agent_dl,65,302,76.0,0.0,21.0,21.0,0,0.0,True,4.0,1.0,-55.0,55.0,67.77,1.0,125.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c303,P7_agent_dl,65,303,75.0,0.0,22.0,21.0,1,1.0,True,4.0,1.0,-54.0,54.0,62.68,0.0,2.0,1.0,0.0,accelerating,accelerating,1.0,1
T65c306,P7_agent_dl,65,306,72.0,0.0,22.0,21.0,1,1.0,True,4.0,1.0,-51.0,51.0,49.56,0.0,6.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c307,P7_agent_dl,65,307,71.0,0.0,25.0,21.0,1,4.0,True,4.0,1.0,-50.0,50.0,45.81,0.0,6.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c314,P7_agent_dl,65,314,64.0,0.0,18.0,18.0,0,0.0,True,4.0,1.0,-46.0,46.0,33.41,1.0,125.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c318,P7_agent_dl,65,318,60.0,0.0,14.0,14.0,0,0.0,True,4.0,1.0,-46.0,46.0,33.41,1.0,125.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c320,P7_agent_dl,65,320,58.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-44.0,44.0,28.51,0.0,21.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c321,P7_agent_dl,65,321,57.0,0.0,25.0,14.0,1,11.0,True,4.0,1.0,-43.0,43.0,26.32,0.0,6.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c324,P7_agent_dl,65,324,54.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-40.0,40.0,20.69,0.0,13.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c328,P7_agent_dl,65,328,50.0,0.0,18.0,14.0,1,4.0,True,4.0,1.0,-36.0,36.0,14.95,1.0,125.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c330,P7_agent_dl,65,330,48.0,0.0,16.0,14.0,1,2.0,True,4.0,1.0,-34.0,34.0,12.67,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c334,P7_agent_dl,65,334,44.0,0.0,20.0,14.0,1,6.0,True,4.0,1.0,-30.0,30.0,9.05,0.0,16.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c335,P7_agent_dl,65,335,43.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-29.0,29.0,8.31,0.0,5.0,1.0,0.0,accelerating,accelerating,1.0,1
T65c338,P7_agent_dl,65,338,40.0,0.0,19.0,14.0,1,5.0,True,4.0,1.0,-26.0,26.0,6.39,1.0,125.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c339,P7_agent_dl,65,339,39.0,0.0,18.0,14.0,1,4.0,True,4.0,1.0,-25.0,25.0,5.84,0.0,24.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c340,P7_agent_dl,65,340,38.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-24.0,24.0,5.34,0.0,7.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c341,P7_agent_dl,65,341,37.0,0.0,21.0,14.0,1,7.0,True,4.0,1.0,-23.0,23.0,4.87,0.0,-2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c342,P7_agent_dl,65,342,36.0,0.0,20.0,14.0,1,6.0,True,4.0,1.0,-22.0,22.0,4.43,0.0,10.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c343,P7_agent_dl,65,343,35.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-21.0,21.0,4.03,0.0,5.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c344,P7_agent_dl,65,344,34.0,0.0,21.0,14.0,1,7.0,True,4.0,1.0,-20.0,20.0,3.66,0.0,-2.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c345,P7_agent_dl,65,345,33.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-19.0,19.0,3.31,0.0,5.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c346,P7_agent_dl,65,346,32.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-18.0,18.0,2.99,1.0,125.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c347,P7_agent_dl,65,347,31.0,0.0,21.0,14.0,1,7.0,True,4.0,1.0,-17.0,17.0,2.7,0.0,-2.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c348,P7_agent_dl,65,348,30.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-16.0,16.0,2.42,0.0,2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c349,P7_agent_dl,65,349,29.0,0.0,23.0,14.0,1,9.0,True,4.0,1.0,-15.0,15.0,2.17,0.0,5.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c350,P7_agent_dl,65,350,28.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-14.0,14.0,1.94,1.0,125.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c351,P7_agent_dl,65,351,27.0,0.0,21.0,14.0,1,7.0,True,4.0,1.0,-13.0,13.0,1.72,1.0,125.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c352,P7_agent_dl,65,352,26.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-12.0,12.0,1.52,1.0,14.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c353,P7_agent_dl,65,353,25.0,0.0,21.0,14.0,1,7.0,True,4.0,1.0,-11.0,11.0,1.33,0.0,-2.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c354,P7_agent_dl,65,354,24.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-10.0,10.0,1.16,0.0,2.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c355,P7_agent_dl,65,355,23.0,0.0,21.0,14.0,1,7.0,True,4.0,1.0,-9.0,9.0,1.0,1.0,125.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c356,P7_agent_dl,65,356,22.0,0.0,20.0,14.0,1,6.0,True,4.0,1.0,-8.0,8.0,0.85,1.0,125.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c357,P7_agent_dl,65,357,21.0,0.0,20.0,14.0,1,6.0,True,4.0,1.0,-7.0,7.0,0.71,1.0,125.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c358,P7_agent_dl,65,358,20.0,0.0,25.0,14.0,1,11.0,True,4.0,1.0,-6.0,6.0,0.59,1.0,10.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c359,P7_agent_dl,65,359,19.0,0.0,24.0,14.0,1,10.0,True,4.0,1.0,-5.0,5.0,0.47,0.0,-2.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c360,P7_agent_dl,65,360,18.0,0.0,23.0,14.0,1,9.0,True,4.0,1.0,-4.0,4.0,0.36,0.0,-1.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c361,P7_agent_dl,65,361,17.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-3.0,3.0,0.26,1.0,125.0,2.0,0.0,accelerating,accelerating,1.0,2
T65c362,P7_agent_dl,65,362,16.0,0.0,21.0,14.0,1,7.0,True,4.0,1.0,-2.0,2.0,0.17,1.0,17.0,2.0,1.0,accelerating,accelerating,1.0,2
T65c363,P7_agent_dl,65,363,15.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,-1.0,1.0,0.08,1.0,10.0,,,,accelerating,,0
T65c364,P7_agent_dl,65,364,14.0,0.0,25.0,14.0,1,11.0,True,4.0,1.0,0.0,0.0,0.0,0.0,6.0,,,,accelerating,,0
T65c365,P7_agent_dl,65,365,13.0,0.0,24.0,14.0,1,10.0,True,4.0,1.0,1.0,1.0,0.11,0.0,20.0,,,,accelerating,,0
T65c366,P7_agent_dl,65,366,12.0,0.0,23.0,14.0,1,9.0,True,4.0,1.0,2.0,2.0,0.22,1.0,125.0,,,,accelerating,,0
T65c367,P7_agent_dl,65,367,11.0,0.0,22.0,14.0,1,8.0,True,4.0,1.0,3.0,3.0,0.35,1.0,125.0,,,,accelerating,,0
T103c182,P7_agent_dl,103,182,12.0,4.8,20.0,20.0,0,0.0,True,4.0,1.0,8.0,8.0,1.23,0.0,10.0,,,,accelerating,,0
T103c183,P7_agent_dl,103,183,11.0,3.8,,,0,0.0,True,4.0,1.0,,,,,,,,,,,0
T103c185,P7_agent_dl,103,185,9.0,1.8,17.0,17.0,0,0.0,True,4.0,1.0,8.0,8.0,1.23,0.0,-3.0,,,,accelerating,,0
T103c186,P7_agent_dl,103,186,8.0,0.8,20.0,17.0,1,3.0,True,4.0,1.0,9.0,9.0,1.46,0.0,8.0,,,,accelerating,,0
T110c2,P7_agent_dl,110,2,125.0,125.0,95.0,95.0,0,0.0,True,4.0,1.0,-30.0,30.0,9.05,0.0,30.0,,,sporadic,accelerating,0.0,0
T110c25,P7_agent_dl,110,25,125.0,102.0,105.0,95.0,1,10.0,True,4.0,1.0,-30.0,30.0,9.05,1.0,30.0,2.0,0.0,sporadic,accelerating,0.0,2
T110c64,P7_agent_dl,110,64,125.0,63.0,63.0,63.0,0,0.0,True,4.0,1.0,-62.0,62.0,116.83,1.0,96.0,2.0,1.0,sporadic,accelerating,0.0,2
T131c57,P7_agent_dl,131,57,125.0,121.9,,,0,0.0,True,4.0,1.0,,,,,,,,sporadic,,,0
T135c2,P7_agent_dl,135,2,125.0,122.9,,,0,0.0,True,4.0,1.0,,,,,,,,steady,,,0
T135c20,P7_agent_dl,135,20,125.0,104.9,,,0,0.0,True,4.0,1.0,,,,,,,,steady,,,0
T135c22,P7_agent_dl,135,22,125.0,102.9,115.0,115.0,0,0.0,True,4.0,1.0,-10.0,10.0,1.16,1.0,25.0,2.0,0.5,steady,accelerating,0.0,2
T135c29,P7_agent_dl,135,29,125.0,95.9,100.0,100.0,0,0.0,True,4.0,1.0,-25.0,25.0,5.84,0.0,20.0,2.0,0.0,steady,accelerating,0.0,2
T135c33,P7_agent_dl,135,33,125.0,91.9,96.0,96.0,0,0.0,True,4.0,1.0,-29.0,29.0,8.31,1.0,25.0,2.0,0.5,steady,accelerating,0.0,2
T135c36,P7_agent_dl,135,36,125.0,88.9,93.0,93.0,0,0.0,True,4.0,1.0,-32.0,32.0,10.72,1.0,29.0,2.0,0.5,steady,accelerating,0.0,2
T135c43,P7_agent_dl,135,43,125.0,81.9,93.0,93.0,0,0.0,True,4.0,1.0,-32.0,32.0,10.72,1.0,39.0,2.0,0.5,steady,accelerating,0.0,2
T135c57,P7_agent_dl,135,57,125.0,67.9,79.0,79.0,0,0.0,True,4.0,1.0,-46.0,46.0,33.41,1.0,32.0,2.0,0.5,sporadic,accelerating,0.0,2
