qid,arm,unit,cycle,true_rul,dl_hint,rul_pred_raw,rul_pred,mono_violation,mono_viol_size,dl_used,steps,json_valid,rul_err,rul_abs_err,s_score,range_coverage,range_width,trend_n,trend_direction_acc,outlook_real,outlook_pred,outlook_acc,n_trend_detail
T65c362,P7_agent_dl,65,362,16.0,0.0,20.0,5.0,1,15.0,,,1.0,-11.0,11.0,1.33,1.0,29.0,2.0,0.5,accelerating,accelerating,1.0,2
T65c363,P7_agent_dl,65,363,15.0,0.0,10.0,5.0,1,5.0,,,1.0,-10.0,10.0,1.16,0.0,12.0,,,,accelerating,,0
T65c364,P7_agent_dl,65,364,14.0,0.0,10.0,5.0,1,5.0,,,1.0,-9.0,9.0,1.0,1.0,28.0,,,,accelerating,,0
T65c365,P7_agent_dl,65,365,13.0,0.0,5.0,5.0,0,0.0,,,1.0,-8.0,8.0,0.85,0.0,8.0,,,,accelerating,,0
T65c366,P7_agent_dl,65,366,12.0,0.0,7.0,5.0,1,2.0,,,1.0,-7.0,7.0,0.71,1.0,11.0,,,,accelerating,,0
T65c367,P7_agent_dl,65,367,11.0,0.0,10.0,5.0,1,5.0,,,1.0,-6.0,6.0,0.59,1.0,12.0,,,,accelerating,,0
T103c182,P7_agent_dl,103,182,12.0,6.7,25.0,25.0,0,0.0,,,1.0,13.0,13.0,2.67,1.0,28.0,,,,accelerating,,0
T103c183,P7_agent_dl,103,183,11.0,6.7,20.0,20.0,0,0.0,,,1.0,9.0,9.0,1.46,1.0,28.0,,,,accelerating,,0
T103c185,P7_agent_dl,103,185,9.0,0.8,5.0,5.0,0,0.0,,,1.0,-4.0,4.0,0.36,0.0,7.0,,,,accelerating,,0
T103c186,P7_agent_dl,103,186,8.0,0.8,5.0,5.0,0,0.0,,,1.0,-3.0,3.0,0.26,0.0,5.0,,,,accelerating,,0
T110c2,P7_agent_dl,110,2,125.0,117.0,15.0,15.0,0,0.0,,,1.0,-110.0,110.0,4728.33,0.0,28.0,,,sporadic,accelerating,0.0,0
T110c25,P7_agent_dl,110,25,125.0,117.0,10.0,10.0,0,0.0,,,1.0,-115.0,115.0,6946.62,0.0,16.0,3.0,0.0,sporadic,accelerating,0.0,3
T110c64,P7_agent_dl,110,64,125.0,117.0,15.0,10.0,1,5.0,,,1.0,-115.0,115.0,6946.62,0.0,19.0,3.0,0.6666666666666666,sporadic,accelerating,0.0,3
T131c57,P7_agent_dl,131,57,125.0,117.2,67.0,67.0,0,0.0,,,1.0,-58.0,58.0,85.62,1.0,121.0,3.0,0.0,sporadic,accelerating,0.0,3
T135c2,P7_agent_dl,135,2,125.0,123.0,3.0,3.0,0,0.0,,,1.0,-122.0,122.0,11902.83,0.0,4.0,,,steady,accelerating,0.0,0
T135c20,P7_agent_dl,135,20,125.0,120.0,5.0,3.0,1,2.0,,,1.0,-122.0,122.0,11902.83,0.0,8.0,3.0,0.0,steady,accelerating,0.0,3
T135c22,P7_agent_dl,135,22,125.0,119.1,23.0,3.0,1,20.0,,,1.0,-122.0,122.0,11902.83,0.0,29.0,3.0,0.0,steady,accelerating,0.0,3
T135c29,P7_agent_dl,135,29,125.0,119.1,90.0,3.0,1,87.0,,,1.0,-122.0,122.0,11902.83,0.0,90.0,3.0,0.6666666666666666,steady,accelerating,0.0,3
T135c33,P7_agent_dl,135,33,125.0,119.1,67.0,3.0,1,64.0,,,1.0,-122.0,122.0,11902.83,1.0,120.0,5.0,0.2,steady,accelerating,0.0,5
T135c36,P7_agent_dl,135,36,125.0,119.1,60.0,3.0,1,57.0,,,1.0,-122.0,122.0,11902.83,0.0,54.0,5.0,0.0,steady,accelerating,0.0,5
T135c43,P7_agent_dl,135,43,125.0,119.1,60.0,3.0,1,57.0,,,1.0,-122.0,122.0,11902.83,1.0,82.0,3.0,0.6666666666666666,steady,accelerating,0.0,3
T135c57,P7_agent_dl,135,57,125.0,119.1,20.0,3.0,1,17.0,,,1.0,-122.0,122.0,11902.83,0.0,28.0,3.0,0.3333333333333333,sporadic,accelerating,0.0,3
T135c74,P7_agent_dl,135,74,125.0,118.4,74.0,3.0,1,71.0,,,1.0,-122.0,122.0,11902.83,0.0,28.0,4.0,0.0,sporadic,accelerating,0.0,4
T209c4,P7_agent_dl,209,4,125.0,122.5,5.0,5.0,0,0.0,,,1.0,-120.0,120.0,10205.39,0.0,11.0,,,steady,accelerating,0.0,0
T209c13,P7_agent_dl,209,13,125.0,122.5,15.0,5.0,1,10.0,,,1.0,-120.0,120.0,10205.39,0.0,28.0,3.0,0.3333333333333333,steady,accelerating,0.0,3
T209c23,P7_agent_dl,209,23,125.0,117.9,20.0,5.0,1,15.0,,,1.0,-120.0,120.0,10205.39,0.0,15.0,3.0,0.3333333333333333,sporadic,accelerating,0.0,3
T209c35,P7_agent_dl,209,35,119.0,116.5,35.0,5.0,1,30.0,,,1.0,-114.0,114.0,6432.22,0.0,12.0,3.0,0.0,sporadic,accelerating,0.0,3
T222c11,P7_agent_dl,222,11,125.0,119.5,40.0,40.0,0,0.0,,,1.0,-85.0,85.0,690.22,0.0,40.0,3.0,0.3333333333333333,sporadic,accelerating,0.0,3
T245c235,P7_agent_dl,245,235,46.0,29.8,15.0,15.0,0,0.0,,,1.0,-31.0,31.0,9.85,0.0,28.0,5.0,0.4,accelerating,accelerating,1.0,5
T245c238,P7_agent_dl,245,238,43.0,27.7,10.0,10.0,0,0.0,,,1.0,-33.0,33.0,11.66,0.0,5.0,5.0,0.0,accelerating,accelerating,1.0,5
T245c241,P7_agent_dl,245,241,40.0,27.6,15.0,10.0,1,5.0,,,1.0,-30.0,30.0,9.05,0.0,19.0,3.0,0.0,accelerating,accelerating,1.0,3
T245c243,P7_agent_dl,245,243,38.0,26.8,9.0,9.0,0,0.0,,,1.0,-29.0,29.0,8.31,0.0,12.0,3.0,0.0,accelerating,accelerating,1.0,3
T245c247,P7_agent_dl,245,247,34.0,19.1,9.0,9.0,0,0.0,,,1.0,-25.0,25.0,5.84,0.0,11.0,4.0,0.25,accelerating,accelerating,1.0,4
T245c249,P7_agent_dl,245,249,32.0,14.8,10.0,9.0,1,1.0,,,1.0,-23.0,23.0,4.87,0.0,25.0,3.0,0.6666666666666666,accelerating,accelerating,1.0,3
T245c255,P7_agent_dl,245,255,26.0,13.7,8.0,8.0,0,0.0,,,1.0,-18.0,18.0,2.99,0.0,11.0,3.0,0.0,accelerating,accelerating,1.0,3
T245c256,P7_agent_dl,245,256,25.0,13.2,26.0,8.0,1,18.0,,,1.0,-17.0,17.0,2.7,1.0,28.0,3.0,0.3333333333333333,accelerating,accelerating,1.0,3
T245c257,P7_agent_dl,245,257,24.0,12.4,9.0,8.0,1,1.0,,,1.0,-16.0,16.0,2.42,0.0,8.0,5.0,0.2,accelerating,accelerating,1.0,5
T245c258,P7_agent_dl,245,258,23.0,12.4,12.0,8.0,1,4.0,,,1.0,-15.0,15.0,2.17,0.0,5.0,5.0,0.4,accelerating,accelerating,1.0,5
T245c259,P7_agent_dl,245,259,22.0,12.4,12.0,8.0,1,4.0,,,1.0,-14.0,14.0,1.94,0.0,15.0,3.0,0.3333333333333333,accelerating,accelerating,1.0,3
T245c260,P7_agent_dl,245,260,21.0,11.9,10.0,8.0,1,2.0,,,1.0,-13.0,13.0,1.72,0.0,10.0,5.0,0.4,accelerating,accelerating,1.0,5
T245c261,P7_agent_dl,245,261,20.0,11.9,5.0,5.0,0,0.0,,,1.0,-15.0,15.0,2.17,0.0,12.0,,,,accelerating,,0
T245c262,P7_agent_dl,245,262,19.0,11.9,10.0,5.0,1,5.0,,,1.0,-14.0,14.0,1.94,0.0,10.0,,,,accelerating,,0
T245c263,P7_agent_dl,245,263,18.0,11.9,5.0,5.0,0,0.0,,,1.0,-13.0,13.0,1.72,0.0,7.0,,,,steady,,0
T245c264,P7_agent_dl,245,264,17.0,11.9,10.0,5.0,1,5.0,,,1.0,-12.0,12.0,1.52,0.0,10.0,,,,accelerating,,0
T245c265,P7_agent_dl,245,265,16.0,11.9,7.0,5.0,1,2.0,,,1.0,-11.0,11.0,1.33,0.0,11.0,,,,accelerating,,0
